|normal|no_clean
24|This is what happens when we focus on building an economy that works for everyone, not just those at the top. http:// ofa.bo/2f890nF|5.192222222222224
25|No one's too wrapped up in pre-existing conditions to #GetCovered . Thanks to Obamacare, you can find a plan that meets your needs. pic.twitter.com/ZLKWSvHNk8|5.5325
26|Help protect the progress we've made in helping millions of Americans get covered. Add your name now: http:// ofa.bo/2dIKiZL|6.063333333333333
27|DYK: Most people can find a plan for less than $75 per month. Open enrollment starts on November 1. #GetCovered pic.twitter.com/9RGG5Pr4mb|5.430909090909092
28|Women, the sick, survivors they all deserve fair treatment in our health care system. #Obamacare pic.twitter.com/G948HN7pzV|6.046666666666667
29|Don't get tripped up by misinformation. Join the @OFA Truth Team today: http:// ofa.bo/2e7FVDZ pic.twitter.com/vwwDgFHq6A|5.505
30|Be proud of the progress we've made together wear the mark of this movement. http:// ofa.bo/2eFUY9Z pic.twitter.com/1Z4yJmYh4E|5.654000000000001
31|Strong policies that help working families get ahead are good for our economy. pic.twitter.com/QRRhibjZCl|5.8999999999999995
32|The four-week average of jobless claims fell to the lowest level since 1973 a sign of a healthy labor market. http:// ofa.bo/2eoEgwE|5.011428571428572
33|Since 2010, America's uninsured rate has been cut in half. Help build on that progress join Team #Obamacare today: http:// ofa.bo/2e4wfdd|5.1499999999999995
34|Health care is a right, not a privilege and #Obamacare works to protect that right for millions of Americans. pic.twitter.com/B7fO8rhggW|5.564615384615384
35|Don't get tripped up by misinformation. Join the @OFA Truth Team today: http:// ofa.bo/2ePMlfI pic.twitter.com/Nxgp87o4iq|5.505
36|Being able to stay on a parent's plan enables millions of young adults to make choices about their future with the security of health care. pic.twitter.com/s87tsEpUv1|5.818095238095237
37|"""Because of Obamacare, another 20 million Americans now know the financial security of health insurance."" http://www. snappytv.com/tc/3055928"|5.818
38|Stand up for the law that's helped 20 million more Americans gain health coverage. Join Team @Obamacare today: http:// ofa.bo/2enxsPd|6.104000000000001
39|There's still more work to do, but let's celebrate how far we've come. pic.twitter.com/kUVWn68kJw|5.396
40|LIVE: President Obama is in Miami talking about the progress made possible by the Affordable Care Act. http:// ofa.bo/2ekISnP|5.67
41|Tune in at 1:55 p.m. ET to watch President Obama speak about the successes of the Affordable Care Act. http:// ofa.bo/2ekISnP|5.2266666666666675
42|There's a lot of misinformation floating around. Make sure you've got the facts join the @OFA Truth Team: http:// ofa.bo/2e4u2Qt pic.twitter.com/TJRao05cIe|5.473333333333334
43|From coast to coast, editorial boards are denouncing Senate obstructionism. Take a look: http:// ofa.bo/2dP12dX #DoYourJob|5.390000000000001
44|Our Supreme Court has been short a justice for far too long. #DoYourJob , Senate leaders. http:// ofa.bo/2e1Kwce|5.1850000000000005
45|The need for a ninth justice is undeniably clear. #DoYourJob pic.twitter.com/L1EBgNbh3Q|5.3999999999999995
46|We can't afford to let this be the new normal. http:// ofa.bo/2dZi76F #ActOnClimate|5.31
47|Denying climate change is dangerous. Join @OFA supporters in standing up for bold action now: http:// ofa.bo/2e3fRg6 #ActOnClimate|5.660000000000001
48|Climate change is real, but so is the progress we're making to #ActOnClimate . Let's keep it up. pic.twitter.com/GOFKXQblGJ|5.423333333333333
49|This is just the latest step forward in the push to #ActOnClimate . http:// ofa.bo/2eBOxHu|5.33
50|Read why @FLOTUS is fighting to ensure that girls everywhere have access to quality education. http:// ofa.bo/2ezmhFx #LetGirlsLearn|5.453333333333333
51|"Wildfires in the next few decades could be ""unrecognizable"" to previous generations because of climate change: http:// ofa.bo/2dWNyOS"|5.203636363636364
52|Senate leaders are blocking the Supreme Court nomination for their own political gain don't be silent: http:// ofa.bo/2dJghVG #DoYourJob|5.393333333333333
53|Senate leaders have recognized Judge Garland's impeccable credentials in the past. He deserves a fair hearing and an up-or-down vote. pic.twitter.com/oduFmNGDgO|5.656363636363636
54|We need a fully functional Supreme Court. Editorial boards across the country agree: http:// ofa.bo/2dCG7KU #DoYourJob|5.5024999999999995
55|The American Bar Association gave Judge Garland its highest rating. Senate leaders: #DoYourJob and fill the #SCOTUS vacancy. pic.twitter.com/4yseqnOBX4|5.653333333333333
56|Denying climate change is dangerous. Join @OFA supporters in standing up for bold action now: http:// ofa.bo/2dZNTRx #ActOnClimate|5.660000000000001
57|Cynics, take note: When we #ActOnClimate , we build a stronger future. pic.twitter.com/wHHMdo2ro6|6.086666666666666
58|"""That s how we will overcome the challenges we face: by unleashing the power of all of us for all of us."" Read more: http:// ofa.bo/2dNlZZy"|5.652941176470589
59|Check out the most recent editorial boards calling on Senate leaders to vote on Judge Garland: http:// ofa.bo/2dNKl4h #DoYourJob|5.451666666666667
60|Senate leaders have undercut the functionality of the Supreme Court, and that's unacceptable. #DoYourJob pic.twitter.com/5HFXhgTMoP|5.3
61|Senate leaders' political games are handicapping the Supreme Court and judgeships across the country. http:// ofa.bo/2dVVHno #DoYourJob|5.250000000000001
62|LIVE: President Obama is speaking at a reception celebrating #HispanicHeritageMonth . http:// ofa.bo/2egOvVm|5.9433333333333325
63|Support the bold steps we're taking against climate change. Say you're ready to #ActOnClimate : http:// ofa.bo/2dcUwww|5.289999999999999
64|Last week, more than 190 countries reached a landmark deal to reduce carbon pollution from aviation. http:// ofa.bo/2dcG2Nb #ActOnClimate|5.155
65|Let's leave our children and grandchildren a planet that's healthier than the one we have today. #ActOnClimate pic.twitter.com/mP29bpRdU9|5.747692307692308
66|Climate change's effects are devastating. Denying the science behind it does nothing to help. http:// ofa.bo/2d7ppaq #ActOnClimate|5.115555555555556
67|"""On behalf of Michelle and our family, G mar Chatimah Tovah.""  President Obama #YomKippur"|5.380000000000001
68|"""LGBT individuals deserve to know their country stands beside them.""  President Obama #NationalComingOutDay pic.twitter.com/op7nBzbaod"|5.685
69|The Supreme Court must remain above politics. Judge Garland needs a hearing and a vote. #DoYourJob pic.twitter.com/eVSPSIFNpB|5.3500000000000005
70|Don't stand idly by while Senate leaders continue to block Judge Garland from a fair hearing and vote: http:// ofa.bo/2dH41rB #DoYourJob|5.396666666666666
71|Judge Garland is just as qualified now as he was in 1997, Senate leaders. It's time to #DoYourJob . pic.twitter.com/j1lEkdMYV6|5.484545454545454
72|Dispel misinformation with facts from the @OFA Truth Team. http:// ofa.bo/2dIq9AB|5.485
73|The uninsured rate is the lowest it's been in decades, thanks to #Obamacare . Spread the word. http:// ofa.bo/2dLpd09 pic.twitter.com/zH364SozNu|5.1579999999999995
74|Deadline tonight help rein in payday lenders that succeed by targeting vulnerable Americans: http:// ofa.bo/2cXFmzM #StopTheDebtTrap|5.304
75|The Obama administration and @CFPB are working to protect consumers and #StopTheDebtTrap . pic.twitter.com/UMO01OUkdh|5.4174999999999995
76|Our economy is on a better, stronger course. http:// ofa.bo/2dkzDAj|5.496
77|The economic progress we've made is undeniable let's keep it up. pic.twitter.com/gAlfaC1hkI|5.751428571428572
78|Check out President Obama's essay in @TheEconomist on the unique challenges the American economy faces. http:// ofa.bo/2dk8Ynm|5.277777777777779
79|The economy added 156,000 jobs in September extending the longest streak of total job growth on record.|5.528333333333333
80|ICYMI: Read about the historic #ParisAgreement and what it means for the fight to #ActOnClimate . http:// ofa.bo/2dyb5WA|4.965454545454546
81|The cost of clean energy technology dropped significantly over the last eight years. Get the chart: http:// ofa.bo/2dHBN0k #ActOnClimate|5.306666666666666
82|This historic step in the fight to #ActOnClimate came faster than anyone predicted. pic.twitter.com/W2rtcNXkI7|5.096000000000001
83|"""Today is a historic day in the fight to protect our planet for future generations.""  President Obama #ActOnClimate http://www. snappytv.com/tc/2949825"|5.547692307692308
84|LIVE: President Obama is delivering a statement on the Paris Climate Agreement. http:// ofa.bo/2dFlmSh|5.244
85|Read from @NYTopinion about why filling the Supreme Court vacancy is crucial for our democracy: http:// ofa.bo/2dEKeJE #DoYourJob|5.208888888888889
86|Enough is enough. Say it's time for Senate leaders to get to work: http:// ofa.bo/2dtojUl #DoYourJob|5.3475
87|"""Everybody cares about their kids, their grandkids, and the kind of world we pass on to them.""  President Obama http://www. snappytv.com/tc/2936623"|5.735384615384616
88|Take what matters with you. http:// ofa.bo/2cQauS4 pic.twitter.com/KJJdkE8DML|5.253333333333333
89|We've come a long way, but the fight for fairness and an economy that works for everyone continues. pic.twitter.com/WWRhZHwYWE|4.9399999999999995
90|Side-by-side for 24 years. Here's to many more. #HappyAnniversary pic.twitter.com/nh8Xfc7IWU|5.34
91|Facts matter. Stay informed with the @OFA Truth Team: http:// ofa.bo/2dmTBfV|5.626666666666666
92|In the weekly address, President Obama discusses why access to paid leave is so important. http:// ofa.bo/2dEyet9 #LeadOnLeave|5.337777777777777
93|Parents shouldn't have to choose between a paycheck and taking care of a sick child at home. #LeadOnLeave pic.twitter.com/FF4hTkgOZy|5.174285714285715
94|After thirty years in Congress, Senator, this should not be your proudest accomplishment. http:// ofa.bo/2dBY0hA #DoYourJob pic.twitter.com/TIL8ISwdKd|5.25125
95|We need a fully functioning Supreme Court. Speak up if you agree it's time for a hearing and a vote: http:// ofa.bo/2d1GSgf #DoYourJob|5.588
96|There has never been a more qualified nominee, Senate leaders. He deserves a fair hearing and a vote. #DoYourJob pic.twitter.com/qtzcY3iwyl|5.517499999999999
97|It's the Senate's job to fairly consider Supreme Court nominees. Their refusal to do so is unacceptable: http:// ofa.bo/2cZAI0q #DoYourJob|5.417777777777777
98|"""Everybody gets sick."" Check out what President Obama is doing to extend access to paid sick leave: http:// ofa.bo/2cEHvAx #LeadOnLeave"|5.176363636363637
99|Never underestimate the strength and resilience of the American economy. pic.twitter.com/OFTN2FlRtq|5.5040000000000004
100|The @OFA Truth Team makes it easy to stay informed. Join today: http:// ofa.bo/2d4UB8e|5.575999999999999
101|This is no accident we're making a comeback because together, we've fought hard to support American families. pic.twitter.com/LTk7SiTexP|4.938
102|We're better off than we were eight years ago. pic.twitter.com/OwrTM3V78t|5.368571428571428
103|Household incomes are up, and the poverty rate is down across all demographics. http:// ofa.bo/2d1pZV0|4.742222222222222
104|As long as Senate leaders keep refusing to do their jobs, @OFA supporters will continue speaking out against their obstruction. #DoYourJob pic.twitter.com/xrz67jh1HV|5.331428571428572
105|Senate leaders have blocked Judge Garland's hearing for over six months now. Keep pushing: http:// ofa.bo/2d6yD5J #DoYourJob|5.2125
106|Important, tough conversations require solid facts. Get them from the @OFA Truth Team: http:// ofa.bo/2cY11WE pic.twitter.com/dD1EPgaA9W|5.1000000000000005
107|These are high praises from the American Bar Association and yet, Senate leaders refuse to even consider Judge Garland. #MerricksMerits pic.twitter.com/tXakoNmYFu|5.268888888888889
108|Senate leaders' unprecedented obstruction of the Supreme Court nomination must end. Your voice matters: http:// ofa.bo/2cXrKCL #DoYourJob|5.336
109|The American people are waiting for Senate leaders to do their jobs. pic.twitter.com/LNqAQpxMle|5.25
110|Senate leaders have blocked Judge Garland's hearing for over six months now. Keep pushing: http:// ofa.bo/2cJwSYX #DoYourJob|5.2125
111|Senate leaders need to work for the good of the American people, not seek out political points. pic.twitter.com/Tdx3xk6gYi|5.12153846153846
112|Watch President Obama and @CEAChair Jason Furman discuss the positive gains the American economy has made. http:// ofa.bo/2ctwCBa|5.665000000000001
113|Here are 16 broken records we shouldn't be proud of. pic.twitter.com/x98dGgEloW|5.345714285714286
114|Stay informed. Stay engaged. Speak up. Join the @OFA Truth Team: http:// ofa.bo/2cMYuhR|4.98
115|Another record broken: 16 months in a row of undeniable, record-breaking heat. http:// ofa.bo/2dabz7s #ActOnClimate|5.260000000000001
116|Happy #FirstDayofFall . pic.twitter.com/ix02MNuOud|
117|We can't sit idly by. Climate change is likely to threaten our national security we must act now. http:// ofa.bo/2crGwUg #ActOnClimate pic.twitter.com/CCFZdEYc8T|5.382
118|Judge Garland is highly qualified for the bench even some Senate leaders who are now blocking his hearing have agreed. #MerricksMerits pic.twitter.com/zxaqdzLVRj|5.616153846153848
119|Senate leaders' blind obstruction of Judge Garland's nomination sets a dangerous precedent. We can't stand idly by. http:// ofa.bo/2d4dlEi|4.4350000000000005
120|Enough of the shameless partisanship, Senators. #DoYourJob and fill the Supreme Court vacancy. pic.twitter.com/vIQY0bivo4|5.164
121|Help keep the pressure on Senate leaders to give Judge Garland a fair hearing before their next recess. http:// ofa.bo/2cpiYzm #DoYourJob|5.489230769230771
122|The American Bar Association gave Judge Garland its highest possible rating. He deserves a hearing and a vote. #MerricksMerits pic.twitter.com/ItMNKx4RJx|5.739999999999999
123|"""Their right to inherit a healthy planet is a sacred responsibility.""  President Obama #ActOnClimate http://www. snappytv.com/tc/2807826"|5.9174999999999995
124|Communities are already experiencing the effects of climate change we can't afford not to act. Take a look: http:// ofa.bo/2d1OQbb pic.twitter.com/3BFbRDUXBv|5.02909090909091
125|As the #UNGA meets, take a look at the progress we've made thanks to American leadership in the world. http:// ofa.bo/2cX9zhF|5.644285714285715
126|LIVE: President Obama is speaking at the 71st Session of the United Nations General Assembly. http:// ofa.bo/2cNcg58 #UNGA|5.1433333333333335
127|LIVE: President Obama is delivering a statement in New York. http:// ofa.bo/2cYDF5K|5.295
128|President Obama commemorates #HispanicHeritageMonth in an address to @CHCI . http://www. snappytv.com/tc/2810938|5.23
129|Senate leaders are putting politics above their basic responsibility to hold a hearing for Judge Garland. #DoYourJob pic.twitter.com/N7vH2ncwmb|5.373846153846154
130|Six months is long enough, senators. It's time to #DoYourJob and give Judge Garland a hearing. http:// ofa.bo/2csXei1|5.3500000000000005
131|The Supreme Court should remain above partisan politics, Senator. http:// ofa.bo/2csFxie #DoYourJob pic.twitter.com/Wjd96qn9Hf|5.573333333333333
132|Progress starts with a conversation. Make sure you have the facts to get yours started: http:// ofa.bo/2csuypk pic.twitter.com/Q3iP0Jwg1t|5.770909090909092
133|When we protect our lands and waters, it helps us protect our climate for future generations. #ActOnClimate pic.twitter.com/8tygZI0TDR|6.0661538461538465
134|"""There is no 'election year' exception in Article II."" Sen. Leahy calls on senators to give Judge Garland a hearing: http:// ofa.bo/2cb8DBX"|5.192
135|President Obama just made history by protecting nearly 5,000 square miles off the New England coast. http:// ofa.bo/2caUhRY #OurOcean|5.388
136|LIVE: President Obama is speaking at the 2016 Our Ocean Conference. http:// ofa.bo/2cQJ3DM #OurOcean|5.234999999999999
137|We need nine justices for a fully functioning Supreme Court and editorial boards across the country agree. http:// ofa.bo/2c9hILF|5.461818181818182
138|We can't let Senate leaders ignore their constitutional responsibilities. http:// ofa.bo/2cIlvVN #DoYourJob pic.twitter.com/IwO7CAoVm2|4.819999999999999
139|Stay informed. Stay engaged. Speak up. Join the @OFA Truth Team: http:// ofa.bo/2caQ4CK|4.98
140|The U.S. is on track to hit two million solar installations within the next two years. Momentum is building: http:// ofa.bo/2caExn4|5.483076923076923
141|Time is almost up for Senate leaders to do the right thing and fill the #SCOTUS vacancy. http:// ofa.bo/2cpD3Ct #DoYourJob|5.45076923076923
142|Median household income: Poverty rate: Uninsured rate: Middle-class economics works. pic.twitter.com/ThPXBSux09|5.3100000000000005
143|In 2015, we saw the fastest household income growth on record and the largest drop in the poverty rate since 1968. http:// ofa.bo/2cKZn8W|5.4152941176470595
144|The Supreme Court must remain above partisanship. Senate leaders: The time to fill the vacant seat is now. pic.twitter.com/7mmbuXjsPO|5.415555555555556
145|ICYMI: This is a really big deal. pic.twitter.com/raNeUV5fRd|5.619999999999999
146|"Vice President Biden speaks on the ""dangerous precedent"" Senate leaders are setting by refusing to do their jobs. http:// ofa.bo/2cjizdw"|5.316000000000001
147|These are records we can't keep breaking. We must work together to #ActOnClimate . pic.twitter.com/sTxNR10sjK|5.408888888888888
148|Meaningful action on climate change can't wait. President Obama explains why in this @nytimes interview. http:// ofa.bo/2cH9trK|5.28
149|We need to keep up efforts to fight climate change at every level locally, nationally, globally. #ActOnClimate pic.twitter.com/L10qdkgPDg|5.1818181818181825
150|Senate leaders are back in session. Keep the pressure high call out their obstructionism. http:// ofa.bo/2bZK2oj #DoYourJob|5.0175
151|There's no need to overcomplicate the process. #DoYourJob pic.twitter.com/QgaNgKNBzJ|4.57
152|We must take bold steps now climate change is already impacting millions of people. http:// ofa.bo/2czxiBK #ActOnClimate|5.473333333333333
153|Congress is back, and they have important work to do before their next recess. Make sure you say where you stand: http:// ofa.bo/2co9UcY|5.586249999999999
154|Stay in the loop with important facts. Join @OFA 's Truth Team: http:// ofa.bo/2cwiLqs pic.twitter.com/FDOocrpQvU|5.486666666666667
155|Rising sea levels are already flooding homes and roads along America's coasts. The time to #ActOnClimate is now. http:// ofa.bo/2bUKt3i|5.6090909090909085
156|Fewer Americans are uninsured than ever before, thanks to #Obamacare . http:// ofa.bo/2cilNlT|5.54
157|Congress is back from recess. Help put the pressure on Senate leaders to give Judge Garland a hearing: http:// ofa.bo/2ckGIU7 #DoYourJob|5.22
158|The process is clear. The Supreme Court and American people are waiting for Senate leaders to get to work. pic.twitter.com/1YzeZLIcAT|5.258181818181819
159|Senate leaders have 32 days before their next recess to give Judge Garland a hearing and a vote. Call them out now: http:// ofa.bo/2chZqvI|5.422857142857144
160|The Paris Climate Agreement is a big deal in the fight against climate change and now, a big step closer to reality. http:// ofa.bo/2c20UYS|5.208571428571429
161|The United States is leading the way in the fight to #ActOnClimate . pic.twitter.com/vkUMjg6XKc|5.025
162|Conservation not only protects diverse lands and species, it's also an important part of battling climate change. http:// ofa.bo/2c1ui1v|5.239999999999999
163|"""When we protect our lands, it helps us protect the climate for the future.""  President Obama #ActOnClimate http://www. snappytv.com/tc/2710336"|5.9018181818181805
164|President Obama has a message for America's workers today check it out: http:// ofa.bo/2c9zC6j #LaborDay pic.twitter.com/qzbHAfRXNs|5.419999999999999
165|In the weekly address, President Obama commemorates the labor movement that helped build this country. http:// ofa.bo/2bY9ruQ|5.435555555555556
166|Recess is almost over, and editorial boards across the country are calling for Senate leaders to do their jobs. pic.twitter.com/Pr78WaT0V2|5.3146666666666675
167|When Americans stand together, there's no challenge too great to solve not even climate change. #ActOnClimate today: http:// ofa.bo/2bIxOeU|5.506666666666667
168|Unemployment: Deficits: Uninsured rate: Jobs: +15.1 million pic.twitter.com/mWcAgfM8zn|7.38
169|It's been a long road, but we're far better off than we were eight years ago. pic.twitter.com/o8UdtCezYE|5.132307692307692
170|The economy added 151,000 jobs in August extending the longest streak of total job growth on record.|5.528333333333333
171|Senate leaders return from recess next week. They need to get to work on a vote for Judge Garland say so. http:// ofa.bo/2bUhngC #DoYourJob|5.358461538461539
172|Recess is almost over, and editorial boards across the country are calling for Senate leaders to do their jobs. pic.twitter.com/ScbkMVcovu|5.3146666666666675
173|Stay in the loop with important facts, brought to you weekly. Join @OFA 's Truth Team: http:// ofa.bo/2bFcBY7|5.56
174|Senate leaders need to hear you expect a vote on Judge Garland when recess ends say you'll let them know: http:// ofa.bo/2bCovlE #DoYourJob|5.458461538461539
175|We can't afford to have a Supreme Court that's short-handed. Here's why: http:// ofa.bo/2bC7jg9|5.150000000000001
176|The American people need their legislators to be dedicated to solutions, not obstruction. #DoYourJob pic.twitter.com/mrTXe8sti6|5.186666666666667
177|Senate leaders have a job to do join the thousands reminding them when they reconvene next week. http:// ofa.bo/2bA3t72 #DoYourJob|5.465454545454545
178|Summer's almost over, Senate leaders. #DoYourJob pic.twitter.com/JOEchACJ6i|4.7
179|Have meaningful, fact-based conversations. Join OFA's Truth Team: http:// ofa.bo/2bzwYWI . pic.twitter.com/Fs4esnNcdD|
180|Show off your pride in this movement grab your Organizing& tee: http:// ofa.bo/2bzpbmW . pic.twitter.com/htUFnTNn28|5.386666666666667
181|Senate leaders must put country before party politics. Read why it's time to give Judge Garland a vote. http:// ofa.bo/2bMWVm0|5.588333333333334
182|It's not too late for Senate leaders to give Judge Garland a fair hearing and up-or-down vote. Say you agree. http:// ofa.bo/2bx2xjL|5.386666666666667
183|Obstruction especially when it comes to the Supreme Court is nothing to be proud of, @SenateMajLdr . #DoYourJob pic.twitter.com/FwsAnwqNH2|5.266666666666667
184|President Obama continues his track record of protecting millions of acres of federal land and water. Take a look: http:// ofa.bo/2bEv1XP|5.579999999999999
185|Speaking up is the first step. Let's build on our progress one conversation at a time. #WomensEqualityDay pic.twitter.com/a0poSyIiqP|5.835
186|Say you'll continue the fight to make gender equality a reality in America: http:// ofa.bo/2cfsWE1 #WomensEqualityDay|5.3999999999999995
187|We've come a long way, but there's still more to do to make sure women are truly treated equally. #WomensEqualityDay pic.twitter.com/B7C0Nk27T5|5.5874999999999995
188|Organize for change in your community, and look good doing it. http:// ofa.bo/2bVjNvL pic.twitter.com/e5TkkUQI1A|5.6675
189|"""These are our American cathedrals, and they belong to you.""  Jonathan B. Jarvis, director of the @NatlParkService http:// ofa.bo/2bJTZFC"|5.397777777777778
190|Happy 100th birthday, @NatlParkService . Here's to the next 100. #NPS100 pic.twitter.com/LGShTB9l4x|5.193333333333334
191|We need nine Supreme Court justices. The Senate needs to do its job and vote on Judge Garland: http:// ofa.bo/2bOtNaj #DoYourJob|5.348
192|This is nothing more than shameless partisanship. The Supreme Court should be held in higher regard. #DoYourJob pic.twitter.com/I0TN3csv0O|5.357777777777779
193|Get important news delivered straight to your inbox join the @OFA Truth Team: http:// ofa.bo/2bPD5nr|5.708571428571427
194|Rhode Island just built America's first offshore wind farm, which will create clean energy and fight climate change. http:// ofa.bo/2biiBG4|5.853333333333333
195|America's leadership in the fight against climate change pays off in more ways than one. #ActOnClimate pic.twitter.com/tGK9Uu5l0C|5.136923076923077
196|We can't wait any longer to restore our Supreme Court to full capacity. Tell Senate leaders: It's time for a vote. http:// ofa.bo/2bJF3Fb|5.18
197|The Supreme Court isn't some partisan football to be kicked around. Senate leaders should stop treating it like one. pic.twitter.com/akIkPCcxUM|5.174545454545455
198|Read why the Supreme Court needs nine justices, not shameless partisanship. http:// ofa.bo/2bAC2ZS|4.843999999999999
199|Get the facts. Cut through the noise with the @OFA Truth Team: http:// ofa.bo/2bc1Tnj pic.twitter.com/OlBqKSgLUZ|5.003333333333333
200|"""We ve protected more than 265 million acres of public lands and waters.""  President Obama http:// ofa.bo/2bEPI3X"|5.795555555555556
201|In the weekly address, President Obama commemorates the 100th anniversary of the @NatlParkService . http:// ofa.bo/2bEPI3X|5.3133333333333335
202|Another record broken. http:// ofa.bo/2bDcaKE #ActOnClimate|5.78
203|Our children's health and prosperity is too important to ignore the consequences of climate change. Speak out now: http:// ofa.bo/2bsKGtH|5.4399999999999995
204|Climate change is not too big of a challenge to solve. We're making good headway. #ActOnClimate pic.twitter.com/s2yzyDqvNR|5.492727272727273
205| Each month just gives another data point that makes the evidence stronger that we re changing the climate.  http:// ofa.bo/2bqW74M|5.551428571428572
206|Fifteen months in a row of record-breaking heat is a signal that can't be denied: We need to #ActOnClimate . pic.twitter.com/pXnbiNYFP9|4.975714285714287
207|Get the facts, not the fluff join the OFA Truth Team: http:// ofa.bo/2aZBnlq|4.7
208|Carry what you need while organizing for change. http:// ofa.bo/2bArnwZ pic.twitter.com/cVvj9b3Mnq|5.244
209|New standards for heavy-duty trucks will cut 1.1 billion metric tons of carbon pollution through 2027. http:// ofa.bo/2boeEPh|5.112727272727273
210|Call on Congress to #DisarmHate . Add your name to support common-sense gun legislation: http:// ofa.bo/2bo16n5|5.160000000000001
211|We shouldn't accept this as normal. #DisarmHate pic.twitter.com/tqmaTawXXX|5.135
212|Doing nothing won't stop our country's gun violence epidemic. Congress must act to #DisarmHate . pic.twitter.com/0kbF22nnm4|4.392
213|We re taking important steps to help guarantee the basic security of paid family leave. http:// ofa.bo/2bbSEpH #LeadOnLeave|5.915
214|Senate leaders must stop obstructing our Supreme Court. Take a stand and show your support. http:// ofa.bo/2bkIYKH #DoYourJob|5.397777777777779
215|Reminder: It's the Senate's job to fairly consider Supreme Court nominees. #DoYourJob pic.twitter.com/xrkYcRsLNw|5.5520000000000005
216|Today, thousands of young DREAMers are able to fully contribute to our communities and our economy. pic.twitter.com/szjWDVYm9X|5.816923076923076
217|Judge Garland deserves a fair hearing and an up-or-down vote. Add your voice and show your support: http:// ofa.bo/2aOCXX3 #DoYourJob|5.670909090909091
218|It s not too late. Senate leaders can still make this right and give Judge Garland an up-or-down vote. pic.twitter.com/ysc4UvluR0|5.447272727272727
219|Editorial boards around the country agree: Our judicial system is too important to be used as a political football. http:// ofa.bo/2aUto4q|5.260000000000001
220|"""There's no doubt that America has become a global leader in the fight against climate change.""  President Obama http:// ofa.bo/2bdVxaK"|4.804615384615385
221|In the weekly address, President Obama discusses progress made in combating climate change and what's left to do. http:// ofa.bo/2bdVxaK|5.4688888888888885
222|Let's be clear: Senate leaders are playing political games with the Supreme Court. #DoYourJob pic.twitter.com/EpPURJ3Dwa|5.75
223|The Clean Power Plan will improve the future health and well-being of our children and families. #ActOnClimate pic.twitter.com/Kw09SczeRv|5.999999999999999
224|Not long ago, women could be charged more for health insurance for being women. There's more to do: http:// ofa.bo/2bbL4wx #StandWithWomen|5.803636363636363
